City,January,February,March,April,May,June,July,August,September,October,November,December,Yearly
BATMAN,10.4,10.2,11.5,11.0,7.7,2.6,0.5,0.4,1.1,5.8,7.6,9.8,78.6
SIRNAK,8.4,9.8,10.0,10.7,7.5,1.9,0.6,0.4,0.9,6.4,6.8,9.0,72.4
BARTIN,16.3,14.8,14.1,11.9,10.3,8.8,7.3,5.8,8.9,12.3,13.4,17.2,141.1
ARDAHAN,8.6,9.3,10.2,13.6,16.5,15.0,11.5,11.0,7.5,10.7,9.6,9.2,132.7
IGDIR,6.0,6.7,7.4,12.1,15.2,10.7,5.9,4.7,4.1,8.6,6.7,6.4,94.5
YALOVA,15.5,13.5,12.6,10.7,7.3,6.2,4.1,3.8,6.5,11.4,12.7,14.9,119.2
KARABUK,11.5,11.4,12.0,11.4,10.8,9.4,5.9,4.7,6.4,8.8,9.6,11.3,113.2
KILIS,12.0,11.6,11.0,9.0,5.6,1.6,0.3,0.3,1.5,5.4,8.6,10.8,77.7
OSMANIYE,8.8,9.2,10.3,9.6,6.8,2.7,1.4,1.1,3.2,6.3,7.1,8.4,74.9
DUZCE,14.9,13.9,14.0,12.2,11.1,9.8,7.0,6.1,7.9,11.7,12.7,15.6,136.9
